País,Fecha,Incidente
 Costa de Marfil,"2016, 13 de marzo",Atentado de Grand-Bassam
 Turquía,"2016, 13 de marzo",Atentado de Ankara de marzo de 2016
 Turquía,"2016, 19 de marzo",Atentado de Estambul de marzo de 2016
 Bélgica,"2016, 22 de marzo",Atentados de Bruselas de 2016
 Pakistán,"2016, 27 de marzo",Atentado de Lahore de 2016
 Perú,"2016, 9 de abril",Atentados de Santo Domingo de Acobamba y Llochegua de 2016
 Israel,"2016, 18 de abril",Bomba en autobús de Jerusalén
 Israel,"2016, 8 de junio",Tiroteo en el Mercado Sarona de Tel Aviv
 Estados Unidos,"2016, 12 de junio",Masacre de la discoteca Pulse de Orlando
 Turquía,"2016, 28 de junio",Atentado del Aeropuerto Internacional Atatürk
 Bangladés,"2016, 1 de julio",Atentado de Daca de 2016
 Irak,"2016, 3 de julio",Atentados de Bagdad del 3 de julio de 2016
 Estados Unidos,"2016, 7-8 de julio",Atentado contra policías de Dallas de 2016
 Francia,"2016, 14 de julio",Atentado de Niza de 2016
 Alemania,"2016, 18 de julio",Ataque en el tren a Wurzburgo de 2016
 Alemania,"2016, 22 de julio",Tiroteo de Múnich de 2016
 Alemania,"2016, 24 de julio",Explosión de Ansbach de 2016
 Francia,"2016, 26 de julio",Atentado de la iglesia de Saint-Étienne-du-Rouvray
 Bélgica,"2016, 6 de agosto",Ataque en Charleroi de 2016
 Pakistán,"2016, 8 de agosto",Ataques en Quetta de 2016
 Turquía,"2016, 20 de agosto",Atentado de Gaziantep de 2016
 Estados Unidos,"2016, 17 de septiembre",Atentados en Nueva York y Nueva Jersey de 2016
 Estados Unidos,"2016, 28 de noviembre",Atentado de la Universidad Estatal de Ohio de 2016
 Turquía,"2016, 10 de diciembre",Atentados de Estambul de diciembre de 2016
 Egipto,"2016, 11 de diciembre",Atentado de El Cairo de 2016
 Suiza,"2016, 19 de diciembre",Tiroteo de Zúrich de 2016
 Turquía,"2016, 19 de diciembre",Asesinato de Andréi Kárlov
 Alemania,"2016, 19 de diciembre",Atentado de Berlín de 2016
 Libia Malta,"2016, 23 de diciembre",Vuelo 209 de Afriqiyah Airways
 Turquía,"2017, 1 de enero",Atentado de Estambul de 2017
 Estados Unidos,"2017, 6 de enero",Tiroteo en el Aeropuerto de Fort Lauderdale
 Israel,"2017, 8 de enero",Atentado de Jerusalén de enero de 2017
 México,"2017, 16 y 17 de enero",Ataques en Playa del Carmen y Cancún de 2017
 Malí,"2017, 18 de enero",Atentado de Gao de 2017
 Australia,"2017, 20 de enero",Ataque con vehículo de Melbourne de 2017
 Canadá,"2017, 29 de enero",Tiroteo de Quebec de 2017
 Francia,"2017, 3 de febrero",Ataque con machete en el Museo del Louvre
 Pakistán,"2017, 16 y de febrero",Atentado de Sehwan de 2017
 Francia,"2017, 18 de marzo",Atentados en la Isla de Francia de marzo de 2017
 Reino Unido,"2017, 22 de marzo",Atentado de Westminster de 2017
 Bangladés,"2017, 25 de marzo",Atentado de Sylhet de 2017
 Rusia,"2017, 3 de abril",Atentado del metro de San Petersburgo de 2017
 Suecia,"2017, 7 de abril",Atentado de Estocolmo de 2017
 Egipto,"2017, 9 de abril",Atentados de Domingo de Ramos en iglesias de Egipto de 2017
 Alemania,"2017, 11 de abril",Ataque al autobús del Borussia Dortmund
 Francia,"2017, 20 de abril",Tiroteo de París de 2017
 Tailandia,"2017, 9 de mayo",Atentado de Pattani de 2017
 Corea del Norte Mundo,"2017, 12 de mayo - Actualidad",Ataques ransomware WannaCry
 Estados Unidos,"2017, 18 de mayo",Atropello en Times Square
 Reino Unido,"2017, 22 de mayo",Atentado de Mánchester de 2017
